IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,candidate_0_gps,candidate_1_gps,candidate_2_gps,candidate_3_gps,candidate_4_gps,candidate_5_gps,candidate_6_gps,candidate_7_gps,candidate_8_gps,candidate_9_gps,candidate_10_gps,candidate_11_gps,candidate_12_gps,candidate_13_gps,candidate_14_gps,candidate_15_gps,candidate_16_gps,candidate_17_gps,candidate_18_gps,candidate_19_gps,reverse_0_gps,reverse_1_gps,reverse_2_gps,reverse_3_gps,reverse_4_gps,reverse_5_gps,reverse_6_gps,reverse_7_gps,reverse_8_gps,reverse_9_gps,reverse_10_gps,reverse_11_gps,reverse_12_gps,reverse_13_gps,reverse_14_gps,reverse_15_gps,reverse_16_gps,reverse_17_gps,reverse_18_gps,reverse_19_gps
1023756068_20c3ffc329_1039_70323761@N00.jpg,70323761@N00,40.807694,-73.962262,2,14,364,0.0159130746743549,0.0089749497880653,0.975111924019192,"[43.691351, -79.579349]","[45.492179, -73.617367]","[47.5055, 19.045]","[52.013838, 12.991847]","[52.083501, 5.475268]","[49.163332, 2.845684]","[54.495512, -1.467146]","[20.881267, -103.814191]","[14.687473, -91.266174]","[34.900699, -92.499107]","[46.50753, 6.624927]","[13.05939, 80.245666]","[65.613518, -37.692718]","[16.080042, -86.942367]","[38.901494, -77.058975]","[37.075449, 55.146045]","[26.216573, -98.343032]","[38.725669, -9.150369]","[50.46574, 4.871138]","[48.838622, 2.419052]","[43.691351, -79.579349]","[45.492179, -73.617367]","[47.5055, 19.045]","[52.013838, 12.991847]","[52.083501, 5.475268]","[49.163332, 2.845684]","[54.495512, -1.467146]","[20.881267, -103.814191]","[14.687473, -91.266174]","[34.900699, -92.499107]","[46.50753, 6.624927]","[13.05939, 80.245666]","[65.613518, -37.692718]","[16.080042, -86.942367]","[38.901494, -77.058975]","[37.075449, 55.146045]","[26.216573, -98.343032]","[38.725669, -9.150369]","[50.46574, 4.871138]","[48.838622, 2.419052]"
1029739337_ff06001d12_1361_7132415@N03.jpg,7132415@N03,-0.292509,-90.532493,1,7,306,0.0073751897578395,0.8696209751940369,0.1230038030320894,"[43.357855, -8.417243]","[6.887486, 79.891719]","[34.977962, 135.774103]","[-33.879657, 151.202545]","[54.628493, -2.415275]","[-25.422191, -49.290161]","[39.638017, -104.895272]","[52.637483, 1.275637]","[-18.491982, -70.327348]","[47.576525, -59.14524]","[42.905645, -79.620494]","[-0.336969, 36.116008]","[-21.741253, -41.344835]","[51.201828, 3.228435]","[34.669076, 135.421428]","[37.385128, -5.991797]","[51.485552, -0.191745]","[47.997434, 7.851259]","[45.466722, 9.190621]","[53.231317, -6.107454]","[43.357855, -8.417243]","[6.887486, 79.891719]","[34.977962, 135.774103]","[-33.879657, 151.202545]","[54.628493, -2.415275]","[-25.422191, -49.290161]","[39.638017, -104.895272]","[52.637483, 1.275637]","[-18.491982, -70.327348]","[47.576525, -59.14524]","[42.905645, -79.620494]","[-0.336969, 36.116008]","[-21.741253, -41.344835]","[51.201828, 3.228435]","[34.669076, 135.421428]","[37.385128, -5.991797]","[51.485552, -0.191745]","[47.997434, 7.851259]","[45.466722, 9.190621]","[53.231317, -6.107454]"
103385471_f54982a801_29_73293249@N00.jpg,73293249@N00,46.006873,7.279987,1,7,232,0.000328934720974,0.9230054553145236,0.0766656327236603,"[51.17271, -4.198979]","[51.50201, -0.157842]","[36.630665, -4.510917]","[46.817749, -71.209366]","[17.662179, -101.607141]","[51.004788, -0.624334]","[33.81198, -117.918233]","[9.790518, -84.600777]","[59.944813, 10.778918]","[41.900296, 13.88174]","[45.364554, -75.669279]","[39.455016, -0.352613]","[39.409141, 140.553703]","[21.874575, -159.440503]","[33.772467, -84.384484]","[50.999199, -0.099606]","[53.260951, -2.130424]","[35.251787, 139.107341]","[41.120858, -73.271234]","[45.922617, 10.963325]","[51.17271, -4.198979]","[51.50201, -0.157842]","[36.630665, -4.510917]","[46.817749, -71.209366]","[17.662179, -101.607141]","[51.004788, -0.624334]","[33.81198, -117.918233]","[9.790518, -84.600777]","[59.944813, 10.778918]","[41.900296, 13.88174]","[45.364554, -75.669279]","[39.455016, -0.352613]","[39.409141, 140.553703]","[21.874575, -159.440503]","[33.772467, -84.384484]","[50.999199, -0.099606]","[53.260951, -2.130424]","[35.251787, 139.107341]","[41.120858, -73.271234]","[45.922617, 10.963325]"
103398485_db45794d93_36_73293249@N00.jpg,73293249@N00,46.21488,7.049309,1,6,305,7.460072349618763e-05,0.5837487230224809,0.4161766379567807,"[35.672637, 139.768409]","[45.658117, 13.802003]","[48.2165, 16.395833]","[-16.797063, 125.844354]","[52.933223, 1.301107]","[43.092357, -70.767917]","[40.718757, -112.036846]","[46.719445, -122.955572]","[47.762395, 13.062829]","[45.767552, 4.833544]","[35.085167, -106.620667]","[34.16077, -118.167754]","[-32.825681, -69.910802]","[54.322405, 10.133466]","[25.073646, -77.288646]","[45.088005, 8.037185]","[37.829258, -122.479584]","[50.770495, 15.042386]","[19.808054, -155.654296]","[40.456475, -3.694678]","[35.672637, 139.768409]","[45.658117, 13.802003]","[48.2165, 16.395833]","[-16.797063, 125.844354]","[52.933223, 1.301107]","[43.092357, -70.767917]","[40.718757, -112.036846]","[46.719445, -122.955572]","[47.762395, 13.062829]","[45.767552, 4.833544]","[35.085167, -106.620667]","[34.16077, -118.167754]","[-32.825681, -69.910802]","[54.322405, 10.133466]","[25.073646, -77.288646]","[45.088005, 8.037185]","[37.829258, -122.479584]","[50.770495, 15.042386]","[19.808054, -155.654296]","[40.456475, -3.694678]"
103404365_f852148f5b_34_73293249@N00.jpg,73293249@N00,46.080783,7.399454,2,15,132,0.0258845731241308,0.0010952501105023,0.9730201618399974,"[25.434903, 81.880416]","[41.759381, -88.191476]","[9.75237, -83.496093]","[40.47294, -3.691015]","[12.970434, 77.555236]","[43.979104, -88.560597]","[45.52042, -73.558101]","[56.096376, 10.050001]","[41.381187, 2.182202]","[34.98444, 135.746898]","[48.583431, -4.149441]","[55.132697, -6.377992]","[61.324716, -149.544759]","[40.7075, -74.011271]","[30.703527, 111.291125]","[52.522488, 13.38272]","[51.404238, 30.049495]","[42.150773, -87.787799]","[48.136859, 11.574161]","[42.804235, -1.6855]","[25.434903, 81.880416]","[41.759381, -88.191476]","[9.75237, -83.496093]","[40.47294, -3.691015]","[12.970434, 77.555236]","[43.979104, -88.560597]","[45.52042, -73.558101]","[56.096376, 10.050001]","[41.381187, 2.182202]","[34.98444, 135.746898]","[48.583431, -4.149441]","[55.132697, -6.377992]","[61.324716, -149.544759]","[40.7075, -74.011271]","[30.703527, 111.291125]","[52.522488, 13.38272]","[51.404238, 30.049495]","[42.150773, -87.787799]","[48.136859, 11.574161]","[42.804235, -1.6855]"
103433117_266c57c2e6_29_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,73,6.061938011425738e-05,0.9905226579893558,0.0094167819743131,"[45.43353, 12.337646]","[41.387627, -8.768903]","[23.067729, -82.296996]","[43.652006, -79.722139]","[36.129044, -115.164957]","[-35.503862, 138.78582]","[59.908264, 10.75128]","[-27.470886, 153.023071]","[36.079626, -83.924303]","[38.957456, -76.474269]","[37.253517, -112.962391]","[45.47885, -75.689663]","[37.7742, -122.417068]","[2.772278, 104.169273]","[-22.913894, -43.172509]","[51.515579, -0.134582]","[51.508911, -0.099781]","[54.913243, -1.371445]","[-23.560697, -46.730936]","[33.807848, -117.920508]","[45.43353, 12.337646]","[41.387627, -8.768903]","[23.067729, -82.296996]","[43.652006, -79.722139]","[36.129044, -115.164957]","[-35.503862, 138.78582]","[59.908264, 10.75128]","[-27.470886, 153.023071]","[36.079626, -83.924303]","[38.957456, -76.474269]","[37.253517, -112.962391]","[45.47885, -75.689663]","[37.7742, -122.417068]","[2.772278, 104.169273]","[-22.913894, -43.172509]","[51.515579, -0.134582]","[51.508911, -0.099781]","[54.913243, -1.371445]","[-23.560697, -46.730936]","[33.807848, -117.920508]"
103433770_9b651cfd20_32_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,30,0.0820246114215557,0.831006660909793,0.0869687034854536,"[41.865414, 12.473784]","[19.715, -155.08255]","[48.853396, 2.348638]","[50.279028, -3.899459]","[40.815173, -73.947343]","[38.957456, -76.474269]","[34.056401, -118.247]","[53.531354, -1.981573]","[32.854166, -96.660834]","[42.37181, -71.122012]","[38.258081, -85.749192]","[38.950698, -77.409504]","[34.394936, 132.4682]","[13.041351, 80.23663]","[-33.40846, -70.69551]","[42.249796, -73.786561]","[42.52164, 2.06363]","[33.924987, 8.137607]","[41.405977, -71.457567]","[52.067998, -0.725505]","[41.865414, 12.473784]","[19.715, -155.08255]","[48.853396, 2.348638]","[50.279028, -3.899459]","[40.815173, -73.947343]","[38.957456, -76.474269]","[34.056401, -118.247]","[53.531354, -1.981573]","[32.854166, -96.660834]","[42.37181, -71.122012]","[38.258081, -85.749192]","[38.950698, -77.409504]","[34.394936, 132.4682]","[13.041351, 80.23663]","[-33.40846, -70.69551]","[42.249796, -73.786561]","[42.52164, 2.06363]","[33.924987, 8.137607]","[41.405977, -71.457567]","[52.067998, -0.725505]"
103442236_09c8d53dbc_37_73293249@N00.jpg,73293249@N00,51.501821,-0.140655,2,11,84,2.8096916501851865e-05,0.0027554163005714,0.997216345340494,"[52.334166, 5.071944]","[39.763158, -84.193725]","[-13.008122, -38.496952]","[29.425081, -98.4928]","[51.499526, -0.100207]","[38.548551, -121.73448]","[-37.756016, 145.060429]","[26.913411, 70.914372]","[43.272225, 10.51243]","[54.583027, -5.954864]","[40.422689, -3.544872]","[-6.165302, 39.201107]","[38.981296, -77.098188]","[56.123956, -3.947618]","[30.563117, -91.160752]","[38.844186, -94.841022]","[59.916698, 10.75]","[51.515452, -0.08215]","[37.754631, -122.429736]","[45.440373, -122.492601]","[52.334166, 5.071944]","[39.763158, -84.193725]","[-13.008122, -38.496952]","[29.425081, -98.4928]","[51.499526, -0.100207]","[38.548551, -121.73448]","[-37.756016, 145.060429]","[26.913411, 70.914372]","[43.272225, 10.51243]","[54.583027, -5.954864]","[40.422689, -3.544872]","[-6.165302, 39.201107]","[38.981296, -77.098188]","[56.123956, -3.947618]","[30.563117, -91.160752]","[38.844186, -94.841022]","[59.916698, 10.75]","[51.515452, -0.08215]","[37.754631, -122.429736]","[45.440373, -122.492601]"
103457638_224c119b11_30_73293249@N00.jpg,73293249@N00,45.999982,7.298584,1,6,234,0.0002048433949646,0.9043055024326064,0.095489665329417,"[45.774767, 4.829478]","[45.437825, 12.323398]","[43.473196, -80.553195]","[51.450958, -2.598674]","[44.033184, 12.609075]","[37.318327, -121.950988]","[49.144266, -107.913781]","[39.039474, -95.203705]","[37.55751, 127.006057]","[25.516418, 3.21453]","[44.627405, -124.050209]","[35.624516, 139.429688]","[45.043864, -92.850621]","[36.432621, 25.423049]","[32.742408, -117.111205]","[3.088633, 101.681814]","[11.14135, -85.797729]","[49.841691, 8.12956]","[34.679027, -82.841931]","[51.705681, 3.682186]","[45.774767, 4.829478]","[45.437825, 12.323398]","[43.473196, -80.553195]","[51.450958, -2.598674]","[44.033184, 12.609075]","[37.318327, -121.950988]","[49.144266, -107.913781]","[39.039474, -95.203705]","[37.55751, 127.006057]","[25.516418, 3.21453]","[44.627405, -124.050209]","[35.624516, 139.429688]","[45.043864, -92.850621]","[36.432621, 25.423049]","[32.742408, -117.111205]","[3.088633, 101.681814]","[11.14135, -85.797729]","[49.841691, 8.12956]","[34.679027, -82.841931]","[51.705681, 3.682186]"
103465274_3e879729e0_33_73293249@N00.jpg,73293249@N00,46.08035,7.209918,2,12,294,0.0050516734091967,0.0694753424051022,0.9254729428576636,"[40.146863, 18.485183]","[20.948935, 101.407928]","[38.548666, -121.739667]","[37.808563, -122.418186]","[-41.164, 174.832333]","[52.908591, 1.313724]","[-35.213803, 138.537355]","[56.523423, -6.798477]","[40.446561, -80.014522]","[39.3489, 2.980041]","[40.169823, 31.910648]","[40.769386, -119.220199]","[18.312975, 97.909211]","[62.990227, 18.534246]","[64.312783, -20.30065]","[51.765673, -1.277482]","[51.062813, 1.074171]","[-24.787513, 25.811862]","[39.97975, -75.065288]","[50.414197, -104.598456]","[40.146863, 18.485183]","[20.948935, 101.407928]","[38.548666, -121.739667]","[37.808563, -122.418186]","[-41.164, 174.832333]","[52.908591, 1.313724]","[-35.213803, 138.537355]","[56.523423, -6.798477]","[40.446561, -80.014522]","[39.3489, 2.980041]","[40.169823, 31.910648]","[40.769386, -119.220199]","[18.312975, 97.909211]","[62.990227, 18.534246]","[64.312783, -20.30065]","[51.765673, -1.277482]","[51.062813, 1.074171]","[-24.787513, 25.811862]","[39.97975, -75.065288]","[50.414197, -104.598456]"
1034783376_9e3db4b81a_1016_70323761@N00.jpg,70323761@N00,40.820751,-73.94892,2,15,77,0.003225387381498,0.0659655842178494,0.930809045210907,"[33.763129, -84.394633]","[25.002141, 121.615025]","[60.32426, 24.96879]","[38.779948, -77.023708]","[31.25224, 121.485131]","[-24.209081, 151.913452]","[34.989661, -96.922534]","[35.560876, 139.651679]","[39.599177, -104.935281]","[40.831995, 14.248409]","[34.13511, -118.300781]","[45.297229, -75.927715]","[38.891383, -77.024095]","[37.771732, -122.450695]","[29.569222, -10.052277]","[42.781574, -87.757844]","[52.492187, -1.120605]","[43.758391, 11.270427]","[42.99405, -88.227049]","[22.27128, 114.149746]","[33.763129, -84.394633]","[25.002141, 121.615025]","[60.32426, 24.96879]","[38.779948, -77.023708]","[31.25224, 121.485131]","[-24.209081, 151.913452]","[34.989661, -96.922534]","[35.560876, 139.651679]","[39.599177, -104.935281]","[40.831995, 14.248409]","[34.13511, -118.300781]","[45.297229, -75.927715]","[38.891383, -77.024095]","[37.771732, -122.450695]","[29.569222, -10.052277]","[42.781574, -87.757844]","[52.492187, -1.120605]","[43.758391, 11.270427]","[42.99405, -88.227049]","[22.27128, 114.149746]"
