IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,NN_idx,LAT_pred,LON_pred,geodesic
103574519_62331b624f_24_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,15,307,0.0004998543084122,0.000465198078162,0.9990348718431594,497142,43.647084,-79.377526,0.933542477967811
103575522_cc6a522170_34_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,12,314,0.0637743782377349,0.0064615613592486,0.9297640654987324,657124,43.642566,-79.387057,0.01767565677046077
103577701_b68e15492e_32_73293249@N00.jpg,73293249@N00,43.085294,-79.079509,2,10,171,0.0295091659931685,0.1057755970604148,0.8647152329295196,117339,43.092461,-79.047161,2.7515981707004444
103726410_49bcd2e470_33_73293249@N00.jpg,73293249@N00,40.711492,-74.01206,2,12,316,0.2317186298473643,0.0327120087096801,0.7355693548742721,595763,40.758,-73.9855,5.630920344622593
1038069722_cab11140a5_1378_75452460@N00.jpg,75452460@N00,48.214093,16.935553,2,11,252,0.0018469149886755,0.0068876575334115,0.9912653801991952,671248,48.30694,14.28583,196.99978006434407
103908913_8ef41889e3_36_11114422@N00.jpg,11114422@N00,51.195697,-2.27992,2,14,201,0.0064192889950369,0.3592531149958944,0.6343275301303848,629607,51.7917,-1.2677,96.636376720865
103910409_51606239db_42_11114422@N00.jpg,11114422@N00,51.195697,-2.27992,2,14,201,0.1575991051876184,0.1342073414220408,0.7081936124445463,621515,50.8429,-1.7371,54.69142499287492
104122769_f122c548dc_40_19355699@N00.jpg,19355699@N00,-16.663606,145.563537,1,8,279,0.1501921757363788,0.6401359734151129,0.2096719350288083,279843,-28.016666,153.399994,1492.9478446897035
1041241079_904c456418_1430_7132415@N03.jpg,7132415@N03,-1.382083,-78.432769,0,5,61,0.9147048476997384,0.0019786858141799,0.0833164657362743,387372,40.4168,-3.7038,8822.98528828209
104132709_97b998c989_41_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,12,273,0.0006793025029674,0.0304216946003403,0.9688990725317675,102318,-33.857197,151.21514,0.7271125557539508
104133298_2619fc0eae_39_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,11,242,0.0071494295027036,0.0246408119974148,0.9682098147142142,681915,-33.8567844,151.213108,0.6291014321115962
1041333001_9b8e3dc4f1_1284_7132415@N03.jpg,7132415@N03,-0.967437,-77.763977,1,8,279,0.0132697875865943,0.9542540874059569,0.0324760541949444,152112,-1.4556,-78.412,90.08423844814978
104134249_80c92294db_19_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,10,66,0.0003826378782036,0.0805042477630593,0.9191131473386064,164667,-33.852306,151.210787,1.013707759758909
104134428_244b67a2d9_38_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,13,103,0.0003988300688756,0.0021046347242439,0.9974965197619592,551170,-33.870846,151.206546,1.080643564544475
104134591_85c54effac_41_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,15,307,0.0002058314594819,0.0004813123193763,0.9993128690721136,76929,-33.8708476,151.2073203,1.067822324733459
104138228_eac9608bce_34_19355699@N00.jpg,19355699@N00,-36.843876,174.7654,1,6,187,0.0011485565994231,0.9270810566873208,0.0717703523211241,184826,-36.8485,174.7633,0.5462614502723124
104146945_2722f724b3_19_14542551@N00.jpg,14542551@N00,47.913695,106.833114,2,10,257,0.0013823416149207,0.0213950089663743,0.977222667124554,158693,49.6132,87.2158,1450.3254704096948
1044041591_512737f6a3_1182_9729483@N02.jpg,9729483@N02,39.948972,-75.150008,0,5,196,0.9763699048670218,0.0001929513117593,0.0234371840795497,11335,39.9522,-75.1621,1.0937212065646402
