IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,response
1023756068_20c3ffc329_1039_70323761@N00.jpg,70323761@N00,40.807694,-73.962262,2,14,364,0.0159130746743549,0.0089749497880653,0.975111924019192,"[None, None, None, '{""latitude"": 39.2904, ""longitude"": -76.6122}', '{""latitude"": 42.3601, ""longitude"": -71.0942}', '{""latitude"": 42.3601, ""longitude"": -71.0589}', '{""latitude"": 39.9526, ""longitude"": -75.1652}', '```json\n{""latitude"": 39.2709, ""longitude"": -76.7991}\n```', None, '{""latitude"": 38.889925, ""longitude"": -77.009058}']"
1029739337_ff06001d12_1361_7132415@N03.jpg,7132415@N03,-0.292509,-90.532493,1,7,306,0.0073751897578395,0.8696209751940369,0.1230038030320894,"[""I'm sorry, but I can't determine the location from this image."", None, ""I'm sorry, I can't determine the location from this image."", '{""latitude"": 21.451,-157.848}', None, '```json\n{""latitude"": -0.2186, ""longitude"": -91.2835}\n```', '```json\n{""latitude"": 0.0, ""longitude"": 0.0}\n```', '{""latitude"": 0.0, ""longitude"": -90.0}', None, None]"
103385471_f54982a801_29_73293249@N00.jpg,73293249@N00,46.006873,7.279987,1,7,232,0.000328934720974,0.9230054553145236,0.0766656327236603,"['{""latitude"": 46.8523, ""longitude"": 9.5320}', '{ ""latitude"": 46.8531, ""longitude"": 9.5252 }', '{""latitude"": 46.8523, ""longitude"": 9.8899}', None, '{""latitude"": 46.8347, ""longitude"": 9.6062}', '{""latitude"": 46.8508, ""longitude"": 9.6798}', ""I'm sorry, I can't provide the location for this image."", '```json\n{""latitude"": 45.8336, ""longitude"": 6.8653}\n```', None, None]"
103398485_db45794d93_36_73293249@N00.jpg,73293249@N00,46.21488,7.049309,1,6,305,7.460072349618763e-05,0.5837487230224809,0.4161766379567807,"[None, None, None, None, None, None, None, None, None, None]"
103404365_f852148f5b_34_73293249@N00.jpg,73293249@N00,46.080783,7.399454,2,15,132,0.0258845731241308,0.0010952501105023,0.9730201618399974,"[None, '{""latitude"": 42.8129, ""longitude"": 0.6410}', '{""latitude"": 46.2264, ""longitude"": 6.8981}', None, '```json\n{""latitude"": 47.0586, ""longitude"": 9.0415}\n```', None, '{""latitude"": 45.889, ""longitude"": 6.515}', '```json\n{""latitude"": 45.9463, ""longitude"": 6.8825}\n```', '```json\n{""latitude"": 45.0196, ""longitude"": 6.4163}\n```', None]"
103433117_266c57c2e6_29_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,73,6.061938011425738e-05,0.9905226579893558,0.0094167819743131,"[None, None, '```json\n{""latitude"": 44.8724, ""longitude"": 6.6483}\n```', None, None, '```json\n{""latitude"": 44.0958, ""longitude"": 6.8467}\n```', None, None, None, None]"
103433770_9b651cfd20_32_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,30,0.0820246114215557,0.831006660909793,0.0869687034854536,"[None, None, None, None, None, None, None, '```json\n{""latitude"": 46.0214, ""longitude"": 7.7464}\n```', '{""latitude"": 46.4983, ""longitude"": 9.8388}', None]"
103442236_09c8d53dbc_37_73293249@N00.jpg,73293249@N00,51.501821,-0.140655,2,11,84,2.8096916501851865e-05,0.0027554163005714,0.997216345340494,"['```json\n{""latitude"": 51.5081, ""longitude"": -0.0759}\n```', '{""latitude"": 51.5081, ""longitude"": -0.0759}', '```json\n{""latitude"": 51.5081, ""longitude"": -0.0759}\n```', '```json\n{""latitude"": 51.5081, ""longitude"": -0.0759}\n```', '```json\n{""latitude"": 51.5081, ""longitude"": -0.0759}\n```', '{""latitude"": 51.5081, ""longitude"": -0.0759}', '```json\n{""latitude"": 51.5081, ""longitude"": -0.0761}\n```', '```json\n{""latitude"": 51.5081, ""longitude"": -0.0759}\n```', '{""latitude"": 51.5081,""longitude"": -0.0759}', '```json\n{""latitude"": 51.5081, ""longitude"": -0.0761}\n```']"
103457638_224c119b11_30_73293249@N00.jpg,73293249@N00,45.999982,7.298584,1,6,234,0.0002048433949646,0.9043055024326064,0.095489665329417,"['```json\n{""latitude"": 42.5063, ""longitude"": 76.3922}\n```', '{""latitude"": 43.6588, ""longitude"": 42.6673}', '{""latitude"": 43.235, ""longitude"": 76.905}', '{""latitude"": 42.5047, ""longitude"": 80.2709}', '{""latitude"": 43.3505, ""longitude"": 77.8806}', '```json\n{""latitude"": 43.2397, ""longitude"": 76.9381}\n```', '{""latitude"": 43.3506, ""longitude"": 72.6022}', '{""latitude"": 42.4372, ""longitude"": 74.7052}', '{""latitude"": 43.226, ""longitude"": 77.002}', None]"
103465274_3e879729e0_33_73293249@N00.jpg,73293249@N00,46.08035,7.209918,2,12,294,0.0050516734091967,0.0694753424051022,0.9254729428576636,"[None, '{""latitude"": 45.1885, ""longitude"": 5.7245}', '```json\n{""latitude"": 46.4721, ""longitude"": 7.811}\n```', '{""latitude"": 45.945, ""longitude"": 6.866}', None, None, '{""latitude"": 45.8154, ""longitude"": 6.7462}', '{""latitude"": 45.9275, ""longitude"": 6.1234}', None, None]"
1034783376_9e3db4b81a_1016_70323761@N00.jpg,70323761@N00,40.820751,-73.94892,2,15,77,0.003225387381498,0.0659655842178494,0.930809045210907,"[""I'm sorry, I can't help with that."", ""I'm sorry, I can't help with that."", None, None, None, None, ""I'm sorry, I can't determine the location from the image."", None, None, None]"
103558896_55f8059bc9_35_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,15,307,4.732878279864114e-06,8.344243990691252e-05,0.9999118898451004,"['```json\n{""latitude"": 43.6426, ""longitude"": -79.3871}\n```', '{""latitude"": 43.650002, ""longitude"": -79.382689}', None, ""I'm sorry, I can't help with that."", None, None, '{""latitude"": 43.6486, ""longitude"": -79.3853}', None, '```json\n{""latitude"": 43.648, ""longitude"": -79.385}\n```', '```json\n{""latitude"": 43.6475, ""longitude"": -79.381667}\n```']"
103574519_62331b624f_24_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,15,307,0.0004998543084122,0.000465198078162,0.9990348718431594,"['{""latitude"": 43.651070,""longitude"": -79.347015}', None, '{""latitude"": 43.6471, ""longitude"": -79.3810}', None, '{""latitude"": 43.6426, ""longitude"": -79.3871}', None, None, None, '```json\n{""latitude"": 43.651070,""longitude"": -79.347015}\n```', None]"
103575522_cc6a522170_34_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,12,314,0.0637743782377349,0.0064615613592486,0.9297640654987324,"['{""latitude"": 43.6426, ""longitude"": -79.3871}', '{""latitude"": 43.6426, ""longitude"": -79.3871}', None, '{""latitude"": 43.6426, ""longitude"": -79.3871}', '{""latitude"": 43.6426, ""longitude"": -79.3871}', '{""latitude"": 43.6426, ""longitude"": -79.3871}', '{""latitude"": 43.6426,""longitude"": -79.3871}', '{""latitude"": 43.6426, ""longitude"": -79.3871}', None, '{""latitude"": 43.6426, ""longitude"": -79.3871}']"
103577701_b68e15492e_32_73293249@N00.jpg,73293249@N00,43.085294,-79.079509,2,10,171,0.0295091659931685,0.1057755970604148,0.8647152329295196,"['{""latitude"": 43.0896, ""longitude"": -79.0849}', '{""latitude"": 43.0799, ""longitude"": -79.0747}', '{ ""latitude"": 43.0818, ""longitude"": -79.0663 }', '{""latitude"": 43.0799, ""longitude"": -79.0741}', '{""latitude"": 43.0846, ""longitude"": -79.0747}', '{""latitude"": 43.0896, ""longitude"": -79.0849}', '{""latitude"": 43.0896, ""longitude"": -79.0849}', '{""latitude"": 43.0896, ""longitude"": -79.0849}', '{""latitude"": 43.0889, ""longitude"": -79.0785}', '{""latitude"": 43.0896, ""longitude"": -79.0849}']"
103726410_49bcd2e470_33_73293249@N00.jpg,73293249@N00,40.711492,-74.01206,2,12,316,0.2317186298473643,0.0327120087096801,0.7355693548742721,"['{""latitude"": 40.7580, ""longitude"": -73.9855}', '{""latitude"": 40.758, ""longitude"": -73.985}', '{""latitude"": 40.7590, ""longitude"": -73.9845}', '```json\n{""latitude"": 40.7580, ""longitude"": -73.9855}\n```', None, '{""latitude"": 40.7580, ""longitude"": -73.9855}', '{""latitude"": 40.7580, ""longitude"": -73.9855}', '```json\n{""latitude"": 40.7590, ""longitude"": -73.9845}\n```', '{""latitude"": 40.7580, ""longitude"": -73.9855}', '```json\n{""latitude"": 40.7580,""longitude"": -73.9855}\n```']"
1038069722_cab11140a5_1378_75452460@N00.jpg,75452460@N00,48.214093,16.935553,2,11,252,0.0018469149886755,0.0068876575334115,0.9912653801991952,"[None, None, '```json\n{""latitude"": 48.0955, ""longitude"": 17.5718}\n```', '```json\n{""latitude"": 48.8348, ""longitude"": 16.0428}\n```', '{""latitude"": 47.8741, ""longitude"": 17.2643}', '```json\n{""latitude"": 48.3164, ""longitude"": 16.7631}\n```', '```json\n{""latitude"": 48.2082, ""longitude"": 16.3738}\n```', '```json\n{""latitude"": 48.3801, ""longitude"": 16.6238}\n```', None, None]"
103908913_8ef41889e3_36_11114422@N00.jpg,11114422@N00,51.195697,-2.27992,2,14,201,0.0064192889950369,0.3592531149958944,0.6343275301303848,"[None, '{""latitude"": 52.0184, ""longitude"": 0.2232}', '{""latitude"": 51.509865, ""longitude"": -0.118092}', '{""latitude"": -1.9440589, ""longitude"": 30.061944}', '{""latitude"": 52.0406, ""longitude"": -0.7605}', '{""latitude"": 51.5081, ""longitude"": -0.1262}', '{""latitude"": 51.3173, ""longitude"": 0.860474}', '{""latitude"": 51.8767, ""longitude"": -0.2187}', '{""latitude"": -1.2921, ""longitude"": 36.8219}', '{""latitude"": 51.8914, ""longitude"": -0.1745}']"
103910409_51606239db_42_11114422@N00.jpg,11114422@N00,51.195697,-2.27992,2,14,201,0.1575991051876184,0.1342073414220408,0.7081936124445463,"[None, None, None, None, '{""latitude"": 51.6833, ""longitude"": -1.7826}', None, None, None, '{""latitude"": 51.9727, ""longitude"": -1.4158}', None]"
104122769_f122c548dc_40_19355699@N00.jpg,19355699@N00,-16.663606,145.563537,1,8,279,0.1501921757363788,0.6401359734151129,0.2096719350288083,"[None, '{""latitude"": -25.2744, ""longitude"": 133.7751}', '{""latitude"": -27.4705, ""longitude"": 153.026}', None, '```json\n{""latitude"": -33.8688, ""longitude"": 151.2093}\n```', '{""latitude"": -25.2744, ""longitude"": 133.7751}', '{""latitude"": -25.2744, ""longitude"": 133.7751}', None, '{""latitude"": -25.2744, ""longitude"": 133.7751}', '{""latitude"": -25.2744,""longitude"": 133.7751}']"
1041241079_904c456418_1430_7132415@N03.jpg,7132415@N03,-1.382083,-78.432769,0,5,61,0.9147048476997384,0.0019786858141799,0.0833164657362743,"['{""latitude"": 40.4168, ""longitude"": -3.7038}', '{""latitude"": 40.4168, ""longitude"": -3.7038}', '{""latitude"": 40.4168, ""longitude"": -3.7038}', '{""latitude"": 40.4168, ""longitude"": -3.7038}', None, None, '{""latitude"": 40.4168, ""longitude"": -3.7038}', None, '{""latitude"": 40.4168, ""longitude"": -3.7038}', None]"
104132709_97b998c989_41_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,12,273,0.0006793025029674,0.0304216946003403,0.9688990725317675,"['{""latitude"": -33.8568, ""longitude"": 151.2153}', None, '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '```json\n{""latitude"": -33.8568, ""longitude"": 151.2153}\n```', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}']"
104133298_2619fc0eae_39_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,11,242,0.0071494295027036,0.0246408119974148,0.9682098147142142,"['{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '```json\n{""latitude"": -33.8568, ""longitude"": 151.2153}\n```', '{""latitude"": -33.8568, ""longitude"": 151.2153}', '{""latitude"": -33.8568, ""longitude"": 151.2153}', None, '{""latitude"": -33.8568, ""longitude"": 151.2153}']"
1041333001_9b8e3dc4f1_1284_7132415@N03.jpg,7132415@N03,-0.967437,-77.763977,1,8,279,0.0132697875865943,0.9542540874059569,0.0324760541949444,"['{""latitude"": -2.6743, ""longitude"": -60.1147}', None, '{""latitude"": -3.4653, ""longitude"": -62.2159}', '{""latitude"": -4.075, ""longitude"": -64.523}', '{""latitude"": -3.4653, ""longitude"": -62.2159}', None, None, '{""latitude"": -4.0441, ""longitude"": -73.4812}', None, '{""latitude"": -3.4653, ""longitude"": -62.2159}']"
104134249_80c92294db_19_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,10,66,0.0003826378782036,0.0805042477630593,0.9191131473386064,"['{""latitude"": -33.8523, ""longitude"": 151.2108}', '{""latitude"": -33.8523, ""longitude"": 151.2108}', '{""latitude"": -33.8523, ""longitude"": 151.2108}', '{""latitude"": -33.8523, ""longitude"": 151.2108}', '{""latitude"": -33.8523, ""longitude"": 151.2108}', '{""latitude"": -33.8522, ""longitude"": 151.2105}', '```json\n{""latitude"": -33.8523, ""longitude"": 151.2108}\n```', '{""latitude"": -33.8523, ""longitude"": 151.2108}', '```json\n{""latitude"": -33.8523, ""longitude"": 151.2108}\n```', '{""latitude"": -33.8523, ""longitude"": 151.2108}']"
104134428_244b67a2d9_38_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,13,103,0.0003988300688756,0.0021046347242439,0.9974965197619592,"['```json\n{""latitude"": -33.8708, ""longitude"": 151.2093}\n```', '{""latitude"": -33.8708, ""longitude"": 151.2093}', '{""latitude"": -33.870453,""longitude"": 151.208755}', '{""latitude"": -33.870847,""longitude"": 151.206785}', '{""latitude"": -33.8731, ""longitude"": 151.2065}', '```json\n{""latitude"": -33.870846,""longitude"": 151.206571}\n```', '{""latitude"": -33.8708, ""longitude"": 151.2093}', '{""latitude"": -33.8705, ""longitude"": 151.2085}', '```json\n{""latitude"": -33.870453,""longitude"": 151.208755}\n```', '{""latitude"": -33.8728, ""longitude"": 151.2093}']"
104134591_85c54effac_41_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,15,307,0.0002058314594819,0.0004813123193763,0.9993128690721136,"['{""latitude"": -33.870987, ""longitude"": 151.208843}', None, '```json\n{""latitude"": -33.8688, ""longitude"": 151.2093}\n```', '{""latitude"": -33.8708, ""longitude"": 151.2083}', '```json\n{""latitude"": -33.870847,""longitude"": 151.206187}\n```', None, '{""latitude"": -33.8708, ""longitude"": 151.2093}', None, '```json\n{""latitude"": -33.870846,""longitude"": 151.206768}\n```', '{""latitude"": -33.870451,""longitude"": 151.208946}']"
104138228_eac9608bce_34_19355699@N00.jpg,19355699@N00,-36.843876,174.7654,1,6,187,0.0011485565994231,0.9270810566873208,0.0717703523211241,"['{""latitude"": -33.857197,""longitude"": 151.214968}', '{""latitude"": 51.5074, ""longitude"": -0.1278}', '{""latitude"": -36.8485, ""longitude"": 174.7633}', '{""latitude"": -33.8523, ""longitude"": 151.2108}', '```json\n{""latitude"": -37.8522, ""longitude"": 144.9814}\n```', '{""latitude"": 51.46496, ""longitude"": -0.32054}', '{""latitude"": -33.8474, ""longitude"": 151.2631}', '{""latitude"": 53.3425, ""longitude"": -2.9663}', '{""latitude"": -36.8485, ""longitude"": 174.7633}', '```json\n{""latitude"": -17.6492, ""longitude"": -149.8263}\n```']"
104146945_2722f724b3_19_14542551@N00.jpg,14542551@N00,47.913695,106.833114,2,10,257,0.0013823416149207,0.0213950089663743,0.977222667124554,"[None, None, None, None, None, None, ""I'm sorry, I can't do that."", None, None, None]"
1044041591_512737f6a3_1182_9729483@N02.jpg,9729483@N02,39.948972,-75.150008,0,5,196,0.9763699048670218,0.0001929513117593,0.0234371840795497,"['```json\n{""latitude"": 39.9489, ""longitude"": -75.1508}\n```', '```json\n{""latitude"": 39.9489, ""longitude"": -75.1494}\n```', '{""latitude"": 39.9491, ""longitude"": -75.1502}', '{""latitude"": 39.9489, ""longitude"": -75.1501}', '{""latitude"": 39.9489, ""longitude"": -75.1507}', '{""latitude"": 39.9489, ""longitude"": -75.1502}', '```json\n{""latitude"": 39.9489, ""longitude"": -75.1503}\n```', '```json\n{""latitude"": 39.9509,""longitude"": -75.1502}\n```', '{""latitude"": 39.9489, ""longitude"": -75.1456}', '```json\n{""latitude"": 39.9493, ""longitude"": -75.1502}\n```']"
